,x,y
0,[255 255 255 ... 255 255 255],5
1,[255 255 255 ... 255 255 255],4
2,[255 255 255 ... 255 255 255],0
3,[255 255 255 ... 255 255 255],2
4,[255 255 255 ... 255 255 255],0
5,[255 255 255 ... 255 255 255],3
6,[255 255 255 ... 255 255 255],0
7,[255 255 255 ... 255 255 255],0
8,[255 255 255 ... 255 255 255],2
9,[255 255 255 ... 255 255 255],1
10,[255 255 255 ... 255 255 255],7
11,[255 255 255 ... 255 255 255],1
12,[255 255 255 ... 255 255 255],4
13,[255 255 255 ... 255 255 255],5
14,[255 255 255 ... 255 255 255],1
15,[255 255 255 ... 255 255 255],6
16,[255 255 255 ... 255 255 255],7
17,[255 255 255 ... 255 255 255],4
18,[255 255 255 ... 255 255 255],5
19,[255 255 255 ... 255 255 255],3
20,[255 255 255 ... 255 255 255],2
21,[255 255 255 ... 255 255 255],2
22,[255 255 255 ... 255 255 255],1
23,[255 255 255 ... 255 255 255],4
24,[255 255 255 ... 255 255 255],2
25,[255 255 255 ... 255 255 255],1
26,[255 255 255 ... 255 255 255],6
27,[255 255 255 ... 255 255 255],3
28,[255 255 255 ... 255 255 255],7
29,[255 255 255 ... 255 255 255],3
30,[255 255 255 ... 255 255 255],3
31,[255 255 255 ... 255 255 255],9
32,[255 255 255 ... 255 255 255],5
33,[255 255 255 ... 255 255 255],3
34,[255 255 255 ... 255 255 255],9
35,[255 255 255 ... 255 255 255],0
36,[255 255 255 ... 255 255 255],2
37,[255 255 255 ... 255 255 255],2
38,[255 255 255 ... 255 255 255],2
39,[255 255 255 ... 255 255 255],7
40,[255 255 255 ... 255 255 255],1
41,[255 255 255 ... 255 255 255],5
42,[255 255 255 ... 255 255 255],6
43,[255 255 255 ... 255 255 255],2
44,[255 255 255 ... 255 255 255],5
45,[255 255 255 ... 255 255 255],1
46,[255 255 255 ... 255 255 255],4
47,[255 255 255 ... 255 255 255],6
48,[255 255 255 ... 255 255 255],2
49,[255 255 255 ... 255 255 255],3
50,[255 255 255 ... 255 255 255],4
51,[255 255 255 ... 255 255 255],4
52,[255 255 255 ... 255 255 255],3
53,[255 255 255 ... 255 255 255],3
54,[255 255 255 ... 255 255 255],5
55,[255 255 255 ... 255 255 255],1
56,[255 255 255 ... 255 255 255],0
57,[255 255 255 ... 255 255 255],9
58,[255 255 255 ... 255 255 255],4
59,[255 255 255 ... 255 255 255],2
60,[255 255 255 ... 255 255 255],7
61,[255 255 255 ... 255 255 255],9
62,[255 255 255 ... 255 255 255],4
63,[255 255 255 ... 255 255 255],3
64,[255 255 255 ... 255 255 255],1
65,[255 255 255 ... 255 255 255],2
66,[255 255 255 ... 255 255 255],0
67,[255 255 255 ... 255 255 255],1
68,[255 255 255 ... 255 255 255],5
69,[255 255 255 ... 255 255 255],1
70,[255 255 255 ... 255 255 255],3
71,[255 255 255 ... 255 255 255],4
72,[255 255 255 ... 255 255 255],7
73,[255 255 255 ... 255 255 255],4
74,[255 255 255 ... 255 255 255],4
75,[255 255 255 ... 255 255 255],7
76,[255 255 255 ... 255 255 255],1
77,[255 255 255 ... 255 255 255],5
78,[255 255 255 ... 255 255 255],6
79,[255 255 255 ... 255 255 255],1
80,[255 255 255 ... 255 255 255],9
81,[255 255 255 ... 255 255 255],3
82,[255 255 255 ... 255 255 255],6
83,[255 255 255 ... 255 255 255],6
84,[255 255 255 ... 255 255 255],2
85,[255 255 255 ... 255 255 255],7
86,[255 255 255 ... 255 255 255],4
87,[255 255 255 ... 255 255 255],6
88,[255 255 255 ... 255 255 255],0
89,[255 255 255 ... 255 255 255],0
90,[255 255 255 ... 255 255 255],7
91,[255 255 255 ... 255 255 255],1
92,[255 255 255 ... 255 255 255],6
93,[255 255 255 ... 255 255 255],9
94,[255 255 255 ... 255 255 255],0
95,[255 255 255 ... 255 255 255],7
96,[255 255 255 ... 255 255 255],6
97,[255 255 255 ... 255 255 255],2
98,[255 255 255 ... 255 255 255],5
99,[255 255 255 ... 255 255 255],4
100,[255 255 255 ... 255 255 255],1
101,[255 255 255 ... 255 255 255],7
102,[255 255 255 ... 255 255 255],9
103,[255 255 255 ... 255 255 255],0
104,[255 255 255 ... 255 255 255],7
105,[255 255 255 ... 255 255 255],2
106,[255 255 255 ... 255 255 255],1
107,[255 255 255 ... 255 255 255],3
108,[255 255 255 ... 255 255 255],9
109,[255 255 255 ... 255 255 255],5
110,[255 255 255 ... 255 255 255],6
111,[255 255 255 ... 255 255 255],0
112,[255 255 255 ... 255 255 255],7
113,[255 255 255 ... 255 255 255],3
114,[255 255 255 ... 255 255 255],3
115,[255 255 255 ... 255 255 255],4
116,[255 255 255 ... 255 255 255],6
117,[255 255 255 ... 255 255 255],9
118,[255 255 255 ... 255 255 255],5
119,[255 255 255 ... 255 255 255],6
120,[255 255 255 ... 255 255 255],9
121,[255 255 255 ... 255 255 255],2
122,[255 255 255 ... 255 255 255],3
123,[255 255 255 ... 255 255 255],4
124,[255 255 255 ... 255 255 255],6
125,[255 255 255 ... 255 255 255],2
126,[255 255 255 ... 255 255 255],3
127,[255 255 255 ... 255 255 255],0
128,[255 255 255 ... 255 255 255],0
129,[255 255 255 ... 255 255 255],7
130,[255 255 255 ... 255 255 255],7
131,[255 255 255 ... 255 255 255],4
132,[255 255 255 ... 255 255 255],6
133,[255 255 255 ... 255 255 255],3
134,[255 255 255 ... 255 255 255],9
